player_key,full_name
naderab01,Abdel Nader
rillegr01,Grant Riller
ingrabr01,Brandon Ingram
turnemy01,Myles Turner
mykhasv01,Svi Mykhailiuk
vonleno01,Noah Vonleh
curryse01,Seth Curry
greenja02,Javonte Green
knighna01,Nathan Knight
houseda01,Danuel House Jr
smithja04,Jalen Smith
okafoja01,Jahlil Okafor
culveja01,Jarrett Culver
carteje01,Jevon Carter
okongon01,Onyeka Okongwu
forbebr01,Bryn Forbes
leaftj01,TJ Leaf
smithis01,Ish Smith
brimaam01,Amida Brimah
balllo01,Lonzo Ball
johnsca02,Cameron Johnson
bogdabo02,Bojan Bogdanovic
sabondo01,Domantas Sabonis
jonesty01,Tyus Jones
favorde01,Derrick Favors
nnajize01,Zeke Nnaji
lamban01,Anthony Lamb
mccolcj01,CJ McCollum
edwaran01,Anthony Edwards
willizi01,Zion Williamson
bjeline01,Nemanja Bjelica
mcgruro01,Rodney McGruder
bullore01,Reggie Bullock
hasleud01,Udonis Haslem
stevela01,Lamar Stevens
scrubja01,Jay Scrubb
horfoal01,Al Horford
portejo01,Jontay Porter
jamesle01,LeBron James
holidjr01,Jrue Holiday
okpalkz01,KZ Okpala
oturuda01,Daniel Oturu
brogdma01,Malcolm Brogdon
tatumja01,Jayson Tatum
mooreet01,E'Twaun Moore
loveke01,Kevin Love
leverca01,Caris LeVert
mannte01,Terance Mann
maledth01,Theo Maledon
pritcpa01,Payton Pritchard
huntede01,De'Andre Hunter
randlch01,Chasson Randle
muldemy01,Mychal Mulder
netora01,Raul Neto
okogijo01,Josh Okogie
hayeski01,Killian Hayes
leeda03,Damion Lee
theisda01,Daniel Theis
holidaa01,Aaron Holiday
luwawti01,Timothe Luwawu-Cabarrot
boldema01,Marques Bolden
hillso01,Solomon Hill
baynear01,Aron Baynes
kurucro01,Rodions Kurucs
lowryky01,Kyle Lowry
reynoca01,Cameron Reynolds
grahade01,Devonte' Graham
toupaax01,Axel Toupane
bledser01,Eric Bledsoe
alexaty01,Ty-Shon Alexander
marshna01,Naji Marshall
milleda01,Darius Miller
pasecan01,Anzejs Pasecniks
thomais02,Isaiah Thomas
